                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2907,                 2.1785,                 1.5867,                0.40476,                0.33393,                0.30187,                0.14813,                 1.6925,                 2.3859,                 2.0275,             0.00055436,             0.00055436,             0.00055436
                      2,                 1.3546,                 1.7499,                 1.6351,                0.43129,                0.36793,                 0.3214,                 0.1476,                 1.8001,                 2.1779,                 2.1536,              0.0010917,              0.0010917,              0.0010917
                      3,                 1.3418,                 1.6319,                 1.6279,                0.38666,                0.41476,                0.33783,                0.14668,                  1.773,                 2.2102,                  2.117,              0.0016107,              0.0016107,              0.0016107
                      4,                 1.3062,                 1.5427,                 1.5977,                0.53837,                0.39533,                0.42431,                0.21797,                 1.5965,                 1.8215,                 1.9601,              0.0015845,              0.0015845,              0.0015845
                      5,                 1.2704,                 1.4837,                 1.5797,                0.50116,                0.41525,                 0.3957,                 0.2047,                 1.6301,                 1.8971,                 2.0284,               0.001557,               0.001557,               0.001557
                      6,                 1.2361,                 1.4081,                 1.5455,                0.57772,                0.46713,                0.48529,                 0.2615,                 1.5181,                 1.6599,                 1.8646,              0.0015295,              0.0015295,              0.0015295
                      7,                 1.2064,                 1.3568,                 1.5231,                0.51101,                0.43282,                0.43847,                0.22622,                 1.5958,                 1.6937,                 1.8868,               0.001502,               0.001502,               0.001502
                      8,                 1.1861,                 1.3116,                 1.5115,                0.61068,                0.50315,                0.52997,                0.29014,                 1.4827,                 1.4958,                 1.7825,              0.0014745,              0.0014745,              0.0014745
                      9,                 1.1634,                 1.2783,                 1.4828,                0.61621,                 0.5096,                0.55183,                0.30037,                 1.4371,                  1.413,                  1.755,               0.001447,               0.001447,               0.001447
                     10,                 1.1408,                 1.2368,                 1.4679,                0.60114,                0.54204,                 0.5391,                 0.3023,                 1.4102,                 1.3509,                 1.7315,              0.0014195,              0.0014195,              0.0014195
                     11,                 1.1218,                 1.2094,                 1.4547,                0.61954,                0.54047,                0.58601,                0.33393,                 1.3792,                 1.3006,                 1.6978,              0.0013919,              0.0013919,              0.0013919
                     12,                 1.1184,                 1.2004,                 1.4539,                0.64851,                0.52065,                0.57354,                0.32876,                 1.3641,                 1.3329,                 1.7122,              0.0013644,              0.0013644,              0.0013644
                     13,                 1.1011,                 1.1553,                 1.4393,                0.61851,                0.55569,                 0.5877,                0.33084,                 1.3425,                 1.3256,                 1.6735,              0.0013369,              0.0013369,              0.0013369
                     14,                 1.0936,                 1.1438,                 1.4285,                0.64853,                0.56342,                0.61802,                0.35043,                 1.3841,                 1.2689,                 1.6996,              0.0013094,              0.0013094,              0.0013094
